campaign_id,campaign_name,platform,date,country,campaign_objective,ad_type,impressions,clicks,conversions,spend,revenue
CMP00001,Ramadan Offers,Meta,2026-02-05,Egypt,Awareness,Video,396123,5025,571,19983.94,91582.92
CMP00002,Free Shipping,Meta,2026-02-20,Saudi Arabia,Traffic,Image,385400,20711,1787,11303.26,471791.82
CMP00003,Black Friday,Meta,2026-02-09,Saudi Arabia,Lead Generation,Carousel,122886,9436,539,2584.11,45584.9
CMP00004,Eid Offers,TikTok,2026-01-21,Egypt,Lead Generation,Image,299428,8081,792,19552.33,98226.89
CMP00005,Back to School,Meta,2026-08-07,Egypt,Traffic,Carousel,132049,9241,584,5872.44,139074.08
CMP00006,Flash Sale,TikTok,2026-06-12,Saudi Arabia,Awareness,Image,99725,4493,198,4043.07,30739.94
CMP00007,Summer Sale,Google Ads,2026-07-26,UAE,Conversions,Video,175388,6153,118,14996.89,28797.28
CMP00008,New Product Launch,Google Ads,2026-03-09,UK,Lead Generation,Story,83206,1955,173,3069.46,47406.48
CMP00009,Free Shipping,LinkedIn,2026-05-07,UAE,Traffic,Video,57662,3556,464,1869.12,46073.57
CMP00010,Free Shipping,Meta,2026-03-06,UK,Lead Generation,Story,300049,20870,242,18557.11,62171.08
CMP00011,Eid Offers,TikTok,2026-02-10,UAE,Conversions,Carousel,247881,1299,144,13782.51,56869.58
CMP00012,Winter Collection,Meta,2026-07-15,UAE,Traffic,Video,94698,4304,512,4684.99,18400.42
CMP00013,Ramadan Offers,Meta,2026-01-15,Egypt,Awareness,Carousel,136286,9655,1376,2803.06,194535.36
CMP00014,Black Friday,Google Ads,2026-05-16,Saudi Arabia,Lead Generation,Video,467406,23601,3422,40517.69,1044947.09
CMP00015,Free Shipping,TikTok,2026-04-26,UK,Awareness,Story,73441,1732,32,1081.82,7134.41
CMP00016,Back to School,Meta,2026-08-20,Egypt,Conversions,Video,26469,1838,36,806.52,7378.82
CMP00017,Brand Awareness,Google Ads,2026-07-26,USA,Lead Generation,Video,223416,4307,101,11052.63,16959.92
CMP00018,Winter Collection,Meta,2026-07-24,Egypt,Conversions,Story,461764,6093,224,23022.89,15144.08
CMP00019,Free Shipping,LinkedIn,2026-01-26,Saudi Arabia,Conversions,Story,36522,1968,168,757.72,13338.46
CMP00020,Brand Awareness,Google Ads,2026-02-24,Saudi Arabia,Lead Generation,Story,463325,16252,295,21117.54,87550.09
CMP00021,New Product Launch,LinkedIn,2026-02-18,UAE,Lead Generation,Story,165560,3530,64,13521.25,3347.84
CMP00022,Summer Sale,Meta,2026-05-11,USA,Lead Generation,Video,52001,3580,70,1009.73,20260.1
CMP00023,Eid Offers,Google Ads,2026-06-18,USA,Conversions,Image,316012,14976,813,11610.99,178866.93
CMP00024,Brand Awareness,TikTok,2026-03-22,UK,Traffic,Carousel,497073,30515,615,20036.87,278938.49
CMP00025,New Product Launch,Meta,2026-08-27,USA,Traffic,Carousel,192981,13714,1825,7529.98,194734.39
CMP00026,Back to School,TikTok,2026-08-29,USA,Conversions,Carousel,470391,7089,185,9295.68,33782.93
CMP00027,Free Shipping,Google Ads,2026-05-06,UAE,Traffic,Carousel,141659,10326,1326,3420.97,196718.13
CMP00028,New Product Launch,Meta,2026-07-09,UAE,Traffic,Carousel,241649,11206,783,3776.62,60981.5
CMP00029,Flash Sale,Google Ads,2026-05-22,USA,Conversions,Carousel,87643,3263,51,3900.79,21549.63
CMP00030,Back to School,Meta,2026-04-01,UAE,Traffic,Video,419005,19689,2608,32807.84,891698.87
CMP00031,Summer Sale,Google Ads,2026-02-15,Saudi Arabia,Traffic,Story,396171,29449,3520,19026.33,994756.93
CMP00032,Eid Offers,Google Ads,2026-08-12,UAE,Traffic,Image,30302,2102,86,2372.34,13875.22
CMP00033,Eid Offers,Google Ads,2026-03-26,Saudi Arabia,Conversions,Video,156068,10897,1584,5948.47,355578.99
CMP00034,New Product Launch,TikTok,2026-05-29,Egypt,Conversions,Carousel,149180,1173,109,5030.75,29752.88
CMP00035,Summer Sale,Meta,2026-07-01,UK,Traffic,Carousel,238619,1223,170,11930.8,51205.09
CMP00036,Winter Collection,Google Ads,2026-06-09,UAE,Lead Generation,Image,174582,9559,262,14757.15,56842.35
CMP00037,Ramadan Offers,TikTok,2026-04-18,UK,Awareness,Video,358614,27085,2839,23781.17,577009.75
CMP00038,Eid Offers,Meta,2026-07-21,UAE,Awareness,Video,314079,15860,874,13730.31,219476.1
CMP00039,Back to School,Google Ads,2026-07-29,Egypt,Awareness,Carousel,403812,9132,488,31311.82,30427.56
CMP00040,Eid Offers,LinkedIn,2026-08-15,USA,Conversions,Story,340178,16388,1811,17670.95,234046.69
CMP00041,New Product Launch,Meta,2026-07-25,Egypt,Lead Generation,Video,374858,16436,279,11694.78,82324.37
CMP00042,Flash Sale,LinkedIn,2026-07-28,USA,Awareness,Story,387106,27833,1941,37212.2,275201.95
CMP00043,Black Friday,LinkedIn,2026-07-16,UK,Awareness,Video,417725,18420,1800,17838.31,100420.65
CMP00044,New Product Launch,TikTok,2026-02-08,UAE,Awareness,Image,131247,4426,138,3414.55,20907.01
CMP00045,Eid Offers,LinkedIn,2026-04-10,UK,Conversions,Video,484395,30388,4328,10245.17,1416201.14
CMP00046,Eid Offers,LinkedIn,2026-08-07,Egypt,Awareness,Carousel,477476,36530,2508,39470.59,557446.99
CMP00047,Eid Offers,Google Ads,2026-05-05,UK,Traffic,Carousel,25217,861,89,1939.47,28349.5
CMP00048,Flash Sale,Google Ads,2026-05-25,USA,Conversions,Story,357602,2514,251,9795.98,33562.12
CMP00049,Winter Collection,LinkedIn,2026-03-28,UAE,Traffic,Story,409103,29035,1421,40859.88,291281.81
CMP00050,Ramadan Offers,LinkedIn,2026-06-16,Egypt,Conversions,Carousel,45975,2923,295,3826.62,80848.6
